c,d,startingangle,dk,bigf,t,x,y,yprime,tangentangle,normalangle,incidentangle,reflectangle,mycolor
-6.32456,6.32456,10,6.22847,10.2061,11.6651,5.16337,2.02563,-0.468187,154.912,64.9116,54.9116,299.823,orange
-6.32456,6.32456,25,5.73199,16.1442,7.09776,0.108197,2.99964,-0.00662509,179.62,89.6204,64.6204,334.241,yellow
-6.32456,6.32456,50,4.06535,32.473,3.0668,-4.35325,2.34931,0.340346,198.796,108.796,58.7958,347.592,green
-6.32456,6.32456,85,0.551221,48.6962,1.39561,-6.20292,1.3903,0.81947,219.334,129.334,44.3336,353.667,blue
-6.32456,6.32456,130,-4.06535,32.473,0.81335,-6.84737,0.623062,2.01855,243.646,153.646,23.6459,357.292,red
-6.32456,6.32456,185,-6.30049,9.30384,0.676667,-6.99865,-0.0589754,-21.7966,-87.3732,-177.373,-362.373,-359.746,orange
-6.32456,6.32456,250,-2.16313,44.3209,0.982198,-6.66049,-0.922964,-1.32546,-52.9672,-142.967,-392.967,-355.934,yellow
-6.32456,6.32456,325,5.18077,22.1596,4.94715,-2.27208,-2.83757,-0.14707,-8.36651,-98.3665,-423.367,-341.733,green
-6.32456,6.32456,410,4.06535,32.473,3.0668,-4.35325,2.34931,0.340346,198.796,108.796,-301.204,-12.4084,blue
-6.32456,6.32456,505,-5.18077,22.1596,0.738869,-6.9298,0.423798,3.00337,251.584,161.584,-343.416,-1.83137,red
-6.32456,6.32456,-10,6.22847,10.2061,11.6651,5.16337,-2.02563,0.468187,25.0884,-64.9116,-54.9116,60.1768,orange
-6.32456,6.32456,-25,5.73199,16.1442,7.09776,0.108197,-2.99964,0.00662509,0.379584,-89.6204,-64.6204,25.7592,yellow
-6.32456,6.32456,-50,4.06535,32.473,3.0668,-4.35325,-2.34931,-0.340346,-18.7958,-108.796,-58.7958,12.4084,green
-6.32456,6.32456,-85,0.551221,48.6962,1.39561,-6.20292,-1.3903,-0.81947,-39.3336,-129.334,-44.3336,6.33279,blue
-6.32456,6.32456,-130,-4.06535,32.473,0.81335,-6.84737,-0.623062,-2.01855,-63.6459,-153.646,-23.6459,2.7082,red
-6.32456,6.32456,-185,-6.30049,9.30384,0.676667,-6.99865,0.0589754,21.7966,267.373,177.373,362.373,719.746,orange
-6.32456,6.32456,-250,-2.16313,44.3209,0.982198,-6.66049,0.922964,1.32546,232.967,142.967,392.967,715.934,yellow
-6.32456,6.32456,-325,5.18077,22.1596,4.94715,-2.27208,2.83757,0.14707,188.367,98.3665,423.367,701.733,green
-6.32456,6.32456,-410,4.06535,32.473,3.0668,-4.35325,-2.34931,-0.340346,-18.7958,-108.796,301.204,372.408,blue
-6.32456,6.32456,-505,-5.18077,22.1596,0.738869,-6.9298,-0.423798,-3.00337,-71.5843,-161.584,343.416,361.831,red
